Block,CoverCrop,N,Yield
1,Avena_strigosa,N_starter,12.05
1,Avena_strigosa,NP_starter,13.58
1,Avena_strigosa,No_starter,13.32
1,Senape_bianca,No_starter,12.33
1,Senape_bianca,NP_starter,12.17
1,Senape_bianca,N_starter,8.74
1,No_cover,N_starter,12.26
1,No_cover,NP_starter,12.87
1,No_cover,No_starter,11.89
2,Senape_bianca,No_starter,11.59
2,Senape_bianca,NP_starter,12.28
2,Senape_bianca,N_starter,8.30
2,Avena_strigosa,N_starter,10.14
2,Avena_strigosa,NP_starter,11.20
2,Avena_strigosa,No_starter,11.48
2,No_cover,No_starter,10.76
2,No_cover,NP_starter,12.30
2,No_cover,N_starter,8.96
3,Senape_bianca,N_starter,9.24
3,Senape_bianca,NP_starter,11.75
3,Senape_bianca,No_starter,10.88
3,No_cover,No_starter,10.90
3,No_cover,NP_starter,11.38
3,No_cover,N_starter,8.76
3,Avena_strigosa,N_starter,11.55
3,Avena_strigosa,NP_starter,12.86
3,Avena_strigosa,No_starter,13.18
