Block,Cultivar,Irrigation,Yield
1,Centurion,80,3.26
1,Fletcha,80,3.35
1,Tanit,80,4.41
2,Centurion,80,3.25
2,Fletcha,80,2.98
2,Tanit,80,3.30
3,Centurion,80,3.04
3,Fletcha,80,2.64
3,Tanit,80,2.54
4,Centurion,80,2.63
4,Fletcha,80,3.27
4,Tanit,80,2.45
1,Centurion,100,4.55
1,Fletcha,100,5.56
1,Tanit,100,5.05
2,Centurion,100,4.72
2,Fletcha,100,4.87
2,Tanit,100,4.31
3,Centurion,100,3.56
3,Fletcha,100,3.15
3,Tanit,100,3.67
4,Centurion,100,4.46
4,Fletcha,100,4.00
4,Tanit,100,3.22
